id,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas
193,0,0,0,1,0,1,30,0,1,0.5,0,400,1
194,0,1,0,1,1,4,20,21,1,1,2,650,0
195,0,0,0,1,1,4,18,17,1,1,3,700,0
196,0,0,0,1,1,3,18,26,1,0.5,2,650,3
361,0,1,0,1,0,7,11,20,1,,1.5,,5
362,0,1,0,1,0,4,4,15,1,,,,
327,1,1,0,0,0,6,6,19,2,1,1,800,5
328,1,1,0,1,1,3,4,25,1,1.5,4,700,0
329,0,0,0,1,0,5,4,17,2,1,,800,2
330,1,0,0,1,0,3,1,25,1,,,1000,
331,1,1,0,1,0,4,6,18,2,2,2,1000,1
332,1,1,0,1,0,5,6,28,1,1.5,1,1200,2
333,1,1,0,0,1,5,6,20,2,2,2,1000,
334,0,1,0,0,1,5,3,23,1,1.5,,1200,1
335,1,1,0,0,1,5,5,17,2,1.5,2,900,0
336,0,1,0,1,0,2,5,34,1,30,2,500,1
170,0,0,0,1,0,4,11,18,2,1,2,800,3
171,0,0,0,1,1,5,18,25,2,,,200,4
172,0,0,0,1,0,6,20,18,1,0.6,1,220,
173,0,0,0,1,1,6,20,18,1,1,,,6
174,0,1,0,1,1,4,6,23,1,1,,200,3
175,0,0,0,1,0,7,22,21,1,1,,100,1
176,0,0,0,1,1,7,14,17,,,3,,
177,0,0,0,1,1,5,,,1,0.6,,200,
178,0,0,0,0,0,4,15,,1,,,,
179,0,0,0,1,1,7,14,23,1,0.6,,,
180,0,,0,0,1,7,20,20,,,,,5
181,0,1,0,1,0,3,16,20,0,,,,3
182,0,0,0,1,0,6,19,16,1,,,300,3
183,0,1,0,1,0,3,22,21,2,,,2080,
750,0,1,0,1,1,12,30,24,2,1,2,800,5
751,0,1,0,1,1,7,28,18,2,2,1,900,1
752,0,1,0,0,1,3,3,2,1,2,3,930,3
753,0,1,0,1,1,12,28,25,2,0.3,2,800,1
754,0,1,0,1,1,15,10,21,1,0.5,3,800,0
40,0,1,0,0,0,5,18,20,1,2.5,,800,2
41,0,0,0,1,0,5,3,17,2,1.5,6,1000,1
42,1,0,0,1,1,5,4,25,1,1,4,930,3
43,0,0,0,1,1,4,3,23,1,20,3,500,2
44,1,0,0,1,0,5,18,23,1,2,,900,
45,0,1,0,0,1,4,3,20,2,0.5,10,600,3
32,0,1,0,1,0,6,18,18,2,0.5,0,,6
33,0,1,0,1,0,4,18,30,1,2,3,800,4
34,0,1,0,1,0,5,18,16,1,0.5,2,,5
35,0,1,0,1,0,5,18,17,1,2,4,,5
36,0,1,0,1,0,4,18,17,1,2,1,,4
37,0,1,0,1,0,4,18,19,1,2,3,,4
38,0,1,0,1,0,1,18,18,1,2,1,,3
39,0,1,0,1,0,4,18,19,1,1,4,,4
214,0,0,0,0,1,7,9,27,1,60,7,600,0
108,0,1,0,1,1,5,18,18,1,2,3,800,3
109,0,1,0,1,0,2,18,,,,,65,2
110,0,1,0,1,0,7,18,22,1,1,3,7500,3
111,0,1,0,1,1,4,18,20,1,0.5,2,800,4
112,0,1,0,1,1,7,18,23,1,3,2,850,5
113,0,1,0,1,1,5,18,25,1,1,3,850,4
744,0,1,0,1,1,6,18,20,1,0.6,2,500,3
745,0,1,0,1,0,7,10,19,1,1,7,450,3
746,0,1,0,1,0,6,18,14,1,5,7,320,4
775,0,1,0,1,0,7,6,15,1,0.1,5,360,6
119,1,1,0,0,1,7,16,17,1,1.5,2,500,2
121,1,1,0,0,1,5,18,19,2,0,2,800,2
122,1,1,0,1,1,7,14,20,1,0,1,900,2
123,1,1,0,1,1,6,18,22,1,1.5,2,900,2
124,1,1,0,1,1,8,18,18,2,1,2,1000,7
125,1,1,0,1,1,11,18,24,2,2,3,1000,5
126,1,1,0,0,0,4,9,27,1,1,1,8500,7
127,1,1,0,1,,3,18,24,1,1,,900,3
128,0,1,0,1,1,7,6,16,2,1,4,1000,
129,1,1,0,0,1,3,10,24,1,1,1,600,1
