,FAM_N,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas,DIRECCION,PADRE,MADRE,F,M,NINOS,MAYORES
70,651.0,0.0,0.0,0.0,1.0,1.0,5,4.0,20.0,0.0,1.1690340909090908,3.0,0.0,0.2,CERRO AZUL - NUEVA RINCONADA,0.0,1.0,3.0,2.0,4.0,0.0
71,652.0,0.0,0.0,0.0,1.0,0.0,3,5.0,25.0,1.0,0.5,1.9508474576271186,500.0,0.66667,CERRO AZUL - NUEVA RINCONADA,1.0,1.0,2.0,1.0,1.0,0.0
78,189.0,0.0,1.0,0.0,1.0,1.0,4,20.0,19.0,1.0,1.0,2.0,650.0,0.25,CASA HUERTA,1.0,1.0,2.0,3.0,2.0,0.0
79,190.0,0.0,1.0,0.0,1.0,1.0,5,20.0,20.0,1.0,0.7,2.0,750.0,0.8,LOS SAUCES,1.0,1.0,5.0,1.0,3.0,0.0
80,191.0,0.0,0.0,0.0,1.0,1.0,6,15.0,18.0,1.0,0.5,1.0,650.0,0.33333,LOS SAUCES,1.0,1.0,2.0,4.0,2.0,0.0
81,192.0,0.0,1.0,0.0,1.0,1.0,4,8.0,26.0,1.0,1.0,0.0,700.0,0.0,LOS SAUCES,1.0,1.0,3.0,1.0,2.0,0.0
82,193.0,0.0,0.0,0.0,1.0,0.0,1,30.0,20.987113402061855,1.0,0.5,0.0,400.0,1.0,LOS SAUCES,1.0,0.0,0.0,1.0,0.0,0.0
83,194.0,0.0,1.0,0.0,1.0,1.0,4,20.0,21.0,1.0,1.0,2.0,650.0,0.0,LOS SAUCES,1.0,1.0,3.0,1.0,2.0,0.0
84,195.0,0.0,0.0,0.0,1.0,1.0,4,18.0,17.0,1.0,1.0,3.0,700.0,0.0,LOS SAUCES,0.0,1.0,2.0,2.0,3.0,0.0
85,196.0,0.0,0.0,0.0,1.0,1.0,3,18.0,26.0,1.0,0.5,2.0,650.0,1.0,LOS SAUCES,1.0,1.0,2.0,2.0,2.0,0.0
88,327.0,1.0,1.0,0.0,0.0,0.0,6,6.0,19.0,2.0,1.0,1.0,800.0,0.83333,NUEVA ALBORADA,0.0,1.0,3.0,3.0,3.0,0.0
89,328.0,1.0,1.0,0.0,1.0,1.0,3,4.0,25.0,1.0,1.5,4.0,700.0,0.0,NUEVA ALBORADA,0.0,1.0,3.0,0.0,2.0,0.0
90,329.0,0.0,0.0,0.0,1.0,0.0,5,4.0,17.0,2.0,1.0,1.9508474576271186,800.0,0.4,NUEVA ALBORADA,0.0,1.0,3.0,0.0,0.0,0.0
91,330.0,1.0,0.0,0.0,1.0,0.0,3,1.0,25.0,1.0,1.1690340909090908,1.9508474576271186,1000.0,0.87937,NUEVA ALBORADA,1.0,0.0,0.0,2.0,1.0,0.0
92,331.0,1.0,1.0,0.0,1.0,0.0,4,6.0,18.0,2.0,2.0,2.0,1000.0,0.25,NUEVA ALBORADA,1.0,1.0,3.0,1.0,2.0,0.0
93,332.0,1.0,1.0,0.0,1.0,0.0,5,6.0,28.0,1.0,1.5,1.0,1200.0,0.4,NUEVA ALBORADA,1.0,1.0,1.0,3.0,2.0,0.0
94,333.0,1.0,1.0,0.0,0.0,1.0,5,6.0,20.0,2.0,2.0,2.0,1000.0,0.52762,NUEVA ALBORADA,1.0,1.0,3.0,2.0,2.0,0.0
95,334.0,0.0,1.0,0.0,0.0,1.0,5,3.0,23.0,1.0,1.5,1.9508474576271184,1200.0,0.2,NUEVA ALBORADA,1.0,1.0,3.0,2.0,3.0,0.0
96,335.0,1.0,1.0,0.0,0.0,1.0,5,5.0,17.0,2.0,1.5,2.0,900.0,0.0,NUEVA ALBORADA,1.0,1.0,2.0,3.0,3.0,0.0
97,336.0,0.0,1.0,0.0,1.0,0.0,2,5.0,34.0,1.0,0.5,2.0,500.0,0.5,NUEVA ALBORADA,0.0,1.0,2.0,0.0,1.0,0.0
98,170.0,0.0,0.0,0.0,1.0,0.0,4,11.0,18.0,2.0,1.0,2.0,800.0,0.75,CASA HUERTA,0.0,1.0,2.0,2.0,2.0,0.0
99,171.0,0.0,0.0,0.0,1.0,1.0,5,18.0,25.0,2.0,1.1690340909090908,1.9508474576271184,200.0,0.8,CASA HUERTA,1.0,1.0,4.0,1.0,2.0,0.0
100,172.0,0.0,0.0,0.0,1.0,0.0,6,20.0,18.0,1.0,0.6,1.0,220.0,0.43969,CASA HUERTA,1.0,1.0,4.0,1.0,3.0,0.0
102,174.0,0.0,1.0,0.0,1.0,1.0,4,6.0,23.0,1.0,1.0,1.9508474576271189,200.0,0.75,CASA HUERTA,1.0,1.0,3.0,1.0,2.0,0.0
103,175.0,0.0,0.0,0.0,1.0,0.0,7,22.0,21.0,1.0,1.0,1.9508474576271186,100.0,0.14286,CASA HUERTA,0.0,1.0,3.0,3.0,4.0,0.0
110,182.0,0.0,0.0,0.0,1.0,0.0,6,19.0,16.0,1.0,1.1690340909090908,1.9508474576271186,300.0,0.5,CASA HUERTA,1.0,1.0,1.0,4.0,3.0,0.0
111,183.0,0.0,1.0,0.0,1.0,0.0,3,22.0,21.0,2.0,1.169034090909091,1.9508474576271186,2080.0,0.87937,CASA HUERTA,0.0,1.0,1.0,2.0,0.0,0.0
112,750.0,0.0,1.0,0.0,1.0,1.0,12,30.0,24.0,2.0,1.0,2.0,800.0,0.41667,LA RINCONADA,0.0,1.0,5.0,0.0,2.0,0.0
113,751.0,0.0,1.0,0.0,1.0,1.0,7,28.0,18.0,2.0,2.0,1.0,900.0,0.14286,LA RINCONADA,0.0,1.0,4.0,2.0,4.0,0.0
114,752.0,0.0,1.0,0.0,0.0,1.0,3,3.0,20.987113402061855,1.0,2.0,3.0,930.0,1.0,LA RINCONADA,0.0,1.0,3.0,0.0,2.0,0.0
115,753.0,0.0,1.0,0.0,1.0,1.0,12,28.0,25.0,2.0,0.3,2.0,800.0,0.08333,LA RINCONADA,1.0,1.0,3.0,3.0,4.0,0.0
116,754.0,0.0,1.0,0.0,1.0,1.0,15,10.0,21.0,1.0,0.5,3.0,800.0,0.0,LA RINCONADA,1.0,1.0,4.0,4.0,5.0,0.0
117,40.0,0.0,1.0,0.0,0.0,0.0,5,18.0,20.0,1.0,2.5,1.9508474576271186,800.0,0.4,LAS ROCAS,1.0,1.0,1.0,2.0,0.0,0.0
118,41.0,0.0,0.0,0.0,1.0,0.0,5,3.0,17.0,2.0,1.5,6.0,1000.0,0.2,LAS ROCAS,0.0,1.0,1.0,2.0,2.0,0.0
119,42.0,1.0,0.0,0.0,1.0,1.0,5,4.0,25.0,1.0,1.0,4.0,930.0,0.6,LAS ROCAS,1.0,1.0,2.0,1.0,1.0,0.0
120,43.0,0.0,0.0,0.0,1.0,1.0,4,3.0,23.0,1.0,0.4,3.0,500.0,0.5,LAS ROCAS,0.0,1.0,2.0,2.0,3.0,0.0
121,44.0,1.0,0.0,0.0,1.0,0.0,5,18.0,23.0,1.0,2.0,1.9508474576271189,900.0,0.52762,LAS ROCAS,1.0,1.0,2.0,3.0,3.0,0.0
122,45.0,0.0,1.0,0.0,0.0,1.0,4,3.0,20.0,2.0,0.5,10.0,600.0,0.75,LAS ROCAS,0.0,1.0,1.0,1.0,0.0,0.0
124,33.0,0.0,1.0,0.0,1.0,0.0,4,18.0,30.0,1.0,2.0,3.0,800.0,1.0,LA CUMBRE,1.0,1.0,2.0,2.0,2.0,0.0
131,214.0,0.0,0.0,0.0,0.0,1.0,7,9.0,27.0,1.0,1.0,7.0,600.0,0.0,ORGANIZACION TERRAZAS,1.0,1.0,4.0,3.0,5.0,0.0
132,108.0,0.0,1.0,0.0,1.0,1.0,5,18.0,18.0,1.0,2.0,3.0,800.0,0.6,VILLA LAS TUNAS,0.0,1.0,3.0,2.0,3.0,0.0
133,109.0,0.0,1.0,0.0,1.0,0.0,2,18.0,20.987113402061855,1.3063291139240507,1.1690340909090908,1.9508474576271189,65.0,1.0,VILLA LAS TUNAS,1.0,0.0,1.0,1.0,1.0,0.0
135,111.0,0.0,1.0,0.0,1.0,1.0,4,18.0,20.0,1.0,0.5,2.0,800.0,1.0,VILLA LAS TUNAS,1.0,1.0,2.0,3.0,2.0,1.0
136,112.0,0.0,1.0,0.0,1.0,1.0,7,18.0,23.0,1.0,3.0,2.0,850.0,0.71429,VILLA LAS TUNAS,0.0,1.0,3.0,4.0,4.0,0.0
137,113.0,0.0,1.0,0.0,1.0,1.0,5,18.0,25.0,1.0,1.0,3.0,850.0,0.8,VILLA LAS TUNAS,1.0,1.0,2.0,2.0,2.0,0.0
138,744.0,0.0,1.0,0.0,1.0,1.0,6,18.0,20.0,1.0,0.6,2.0,500.0,0.5,LOS JARDINES,0.0,1.0,4.0,2.0,5.0,0.0
139,745.0,0.0,1.0,0.0,1.0,0.0,7,10.0,19.0,1.0,1.0,7.0,450.0,0.42857,LOS JARDINES,1.0,1.0,3.0,4.0,5.0,0.0
140,746.0,0.0,1.0,0.0,1.0,0.0,6,18.0,14.0,1.0,0.1,7.0,320.0,0.66667,LOS JARDINES,0.0,1.0,3.0,3.0,5.0,0.0
141,775.0,0.0,1.0,0.0,1.0,0.0,7,6.0,15.0,1.0,0.1,5.0,360.0,0.85714,LOS JARDINES,0.0,1.0,3.0,4.0,6.0,0.0
142,119.0,1.0,1.0,0.0,0.0,1.0,7,16.0,17.0,1.0,1.5,2.0,500.0,0.28571,LOS ROSALES,0.0,1.0,3.0,3.0,5.0,0.0
143,121.0,1.0,1.0,0.0,0.0,1.0,5,18.0,19.0,2.0,0.0,2.0,800.0,0.4,LOS ROSALES,1.0,1.0,2.0,2.0,2.0,0.0
144,122.0,1.0,1.0,0.0,1.0,1.0,7,14.0,20.0,1.0,0.0,1.0,900.0,0.28571,LOS ROSALES,1.0,1.0,5.0,2.0,4.0,0.0
145,123.0,1.0,1.0,0.0,1.0,1.0,6,18.0,22.0,1.0,1.5,2.0,900.0,0.33333,LOS ROSALES,1.0,1.0,3.0,3.0,4.0,0.0
146,124.0,1.0,1.0,0.0,1.0,1.0,8,18.0,18.0,2.0,1.0,2.0,1000.0,0.875,LOS ROSALES,1.0,1.0,3.0,3.0,4.0,0.0
147,125.0,1.0,1.0,0.0,1.0,1.0,11,18.0,24.0,2.0,2.0,3.0,1000.0,0.45455,LOS ROSALES,1.0,1.0,4.0,6.0,8.0,0.0
150,128.0,0.0,1.0,0.0,1.0,1.0,7,6.0,16.0,2.0,1.0,4.0,1000.0,0.37687,LOS ROSALES,1.0,1.0,6.0,1.0,5.0,0.0
151,129.0,1.0,1.0,0.0,0.0,1.0,3,10.0,24.0,1.0,1.0,1.0,600.0,0.33333,LOS ROSALES,1.0,1.0,2.0,2.0,2.0,0.0
153,131.0,0.0,1.0,1.0,1.0,1.0,6,0.2,15.0,1.0,1.5,6.0,600.0,0.0,LOS ROSALES,0.0,1.0,2.0,4.0,5.0,0.0
154,755.0,0.0,0.0,0.0,1.0,0.0,6,18.0,17.0,3.0,1.1690340909090908,1.9508474576271189,950.0,0.5,LOS JARDINES,1.0,1.0,3.0,2.0,2.0,0.0
155,756.0,0.0,0.0,0.0,1.0,1.0,5,32.0,20.0,2.0,1.0,0.0,950.0,0.6,LOS JARDINES,0.0,1.0,5.0,1.0,4.0,0.0
157,758.0,0.0,0.0,0.0,1.0,0.0,5,24.0,21.0,2.0,1.5,0.0,950.0,0.8,LOS JARDINES,0.0,1.0,4.0,2.0,2.0,1.0
159,300.0,0.0,1.0,0.0,0.0,0.0,3,1.0,20.0,1.3063291139240505,1.1690340909090908,1.9508474576271189,400.0,0.66667,COMEDOR CORAZON DE JESUS,0.0,1.0,1.0,1.0,1.0,0.0
161,302.0,0.0,1.0,0.0,1.0,1.0,4,18.0,28.0,1.0,2.0,1.0,800.0,0.0,COMEDOR CORAZON DE JESUS,0.0,1.0,2.0,2.0,3.0,0.0
162,303.0,0.0,1.0,0.0,1.0,1.0,7,18.0,20.0,3.0,1.0,4.0,800.0,0.85714,COMEDOR CORAZON DE JESUS,1.0,0.0,1.0,4.0,4.0,0.0
163,304.0,1.0,1.0,0.0,1.0,1.0,6,18.0,16.0,1.0,1.0,1.9508474576271186,800.0,0.83333,COMEDOR CORAZON DE JESUS,1.0,1.0,3.0,3.0,4.0,0.0
164,305.0,0.0,1.0,0.0,1.0,1.0,5,18.0,22.0,1.0,1.0,5.0,400.0,0.8,COMEDOR CORAZON DE JESUS,0.0,1.0,1.0,4.0,4.0,0.0
165,306.0,0.0,1.0,0.0,0.0,1.0,5,18.0,23.0,1.3063291139240507,1.1690340909090908,4.0,350.0,0.6,COMEDOR CORAZON DE JESUS,0.0,1.0,1.0,2.0,2.0,0.0
166,307.0,1.0,1.0,1.0,1.0,1.0,5,18.0,17.0,1.0,1.0,7.0,600.0,0.8,COMEDOR CORAZON DE JESUS,0.0,1.0,3.0,2.0,4.0,0.0
167,308.0,0.0,1.0,1.0,1.0,1.0,4,18.0,22.0,1.0,2.0,2.0,500.0,1.0,COMEDOR CORAZON DE JESUS,0.0,1.0,3.0,1.0,3.0,0.0
168,309.0,0.0,1.0,0.0,1.0,1.0,4,18.0,21.0,1.0,2.0,3.0,600.0,1.0,COMEDOR CORAZON DE JESUS,0.0,1.0,3.0,1.0,3.0,0.0
169,310.0,0.0,1.0,0.0,1.0,0.0,8,18.0,16.0,1.0,1.0,1.9508474576271186,800.0,0.25,COMEDOR CORAZON DE JESUS,0.0,1.0,6.0,0.0,5.0,0.0
170,311.0,0.0,1.0,0.0,1.0,0.0,3,18.0,18.0,1.0,1.1690340909090908,1.9508474576271186,700.0,1.0,VILLA SOL PARTE BAJA,0.0,1.0,2.0,1.0,1.0,0.0
172,313.0,0.0,1.0,1.0,1.0,1.0,4,10.0,18.0,1.0,2.0,0.0,850.0,0.5,VILLA SOL PARTE BAJA,0.0,1.0,2.0,1.0,2.0,0.0
173,314.0,0.0,1.0,0.0,1.0,1.0,5,2.0,22.0,2.0,0.5,2.0,750.0,0.4,VILLA SOL PARTE BAJA,1.0,1.0,4.0,1.0,3.0,0.0
174,315.0,0.0,1.0,0.0,1.0,0.0,1,18.0,20.0,1.0,1.0,1.9508474576271186,750.0,1.0,VILLA SOL PARTE BAJA,0.0,1.0,1.0,0.0,0.0,0.0
175,316.0,0.0,1.0,0.0,1.0,1.0,5,13.0,20.987113402061855,2.0,1.0,3.0,700.0,0.6,VILLA SOL PARTE BAJA,0.0,1.0,3.0,2.0,1.0,0.0
176,317.0,0.0,1.0,0.0,1.0,0.0,5,16.0,18.0,1.0,1.0,0.0,800.0,0.8,VILLA SOL PARTE BAJA,1.0,1.0,3.0,2.0,3.0,0.0
177,318.0,0.0,1.0,0.0,1.0,0.0,6,16.0,24.0,1.0,1.0,0.0,800.0,0.66667,VILLA SOL PARTE BAJA,1.0,1.0,5.0,1.0,3.0,0.0
178,737.0,0.0,1.0,0.0,0.0,0.0,6,3.0,18.0,1.0,0.0,1.0,300.0,0.0,VILLA SOL PARTE BAJA,1.0,1.0,3.0,3.0,3.0,0.0
179,738.0,0.0,1.0,0.0,0.0,0.0,2,5.0,18.0,1.0,0.6,0.0,500.0,0.5,ROSAS DE SAN JUAN,0.0,1.0,1.0,1.0,1.0,0.0
180,739.0,0.0,1.0,0.0,0.0,0.0,5,3.0,24.0,1.0,2.0,2.0,500.0,0.6,ROSAS DE SAN JUAN,1.0,1.0,4.0,1.0,2.0,0.0
181,740.0,0.0,1.0,0.0,1.0,0.0,4,6.0,19.0,1.0,2.0,0.0,200.0,0.75,ROSAS DE SAN JUAN,1.0,1.0,2.0,2.0,1.0,0.0
182,741.0,0.0,1.0,0.0,1.0,0.0,4,6.0,26.0,1.0,1.0,2.0,400.0,0.5,ROSAS DE SAN JUAN,1.0,1.0,2.0,2.0,2.0,0.0
183,742.0,0.0,1.0,0.0,1.0,0.0,6,6.0,17.0,1.0,2.0,3.0,500.0,0.66667,ROSAS DE SAN JUAN,1.0,1.0,4.0,2.0,1.0,1.0
184,670.0,0.0,1.0,0.0,1.0,0.0,7,14.0,25.0,1.0,1.5,1.0,950.0,0.28571,C 16,1.0,1.0,4.0,3.0,5.0,0.0
185,671.0,0.0,1.0,0.0,1.0,0.0,4,10.0,25.0,1.0,1.5,0.0,850.0,0.25,C 16,0.0,1.0,4.0,0.0,3.0,0.0
186,672.0,0.0,1.0,0.0,1.0,0.0,7,18.0,19.0,1.0,2.0,1.9508474576271186,1000.0,0.28571,C 16,1.0,1.0,4.0,3.0,5.0,0.0
187,202.0,0.0,1.0,0.0,1.0,0.0,2,5.0,22.0,1.0,1.0,1.9508474576271186,500.0,1.0,VILLA SAN JUAN,1.0,1.0,1.0,1.0,0.0,0.0
188,203.0,0.0,1.0,0.0,0.0,1.0,4,17.0,20.0,1.0,1.5,1.0,400.0,0.5,VILLA SAN JUAN,0.0,1.0,4.0,0.0,3.0,0.0
189,204.0,0.0,1.0,0.0,1.0,1.0,7,7.0,19.0,2.0,0.5,2.0,1200.0,0.57143,VILLA SAN JUAN,1.0,1.0,3.0,4.0,5.0,0.0
190,205.0,0.0,1.0,0.0,1.0,0.0,4,16.0,18.0,1.0,0.2,1.9508474576271184,400.0,0.5,VILLA SAN JUAN,1.0,1.0,2.0,2.0,2.0,0.0
191,206.0,0.0,1.0,1.0,1.0,1.0,4,18.0,15.0,1.0,1.1690340909090908,1.9508474576271184,200.0,0.25,VILLA SAN JUAN,0.0,1.0,3.0,1.0,3.0,0.0
193,208.0,0.0,1.0,0.0,1.0,0.0,4,18.0,28.0,1.0,1.0,1.9508474576271189,400.0,0.75,VILLA SAN JUAN,1.0,1.0,2.0,2.0,2.0,0.0
194,209.0,0.0,1.0,0.0,1.0,0.0,5,18.0,13.0,3.0,1.0,1.9508474576271186,200.0,0.4,VILLA SAN JUAN,0.0,1.0,2.0,1.0,2.0,0.0
195,210.0,0.0,1.0,0.0,1.0,0.0,4,14.0,18.0,1.0,0.5,2.0,300.0,0.5,VILLA SAN JUAN,0.0,1.0,3.0,0.0,2.0,0.0
