,FAM_N,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas,DIRECCION,PADRE,MADRE,F,M,NINOS,MAYORES
33,13,0,1,1,0,1,7,12,17,2,2,3,,,EMILLO PONCE HUANAY,1,1,5,2,3,0
34,14,0,1,0,0,1,5,10,,1,1,2,,,VALLE 2000,1,1,2,3,3,0
35,15,0,1,0,1,1,6,17,25,1,2,5,,2,MINAS 2000,1,1,1,4,4,0
36,16,0,1,1,0,0,7,15,25,2,1,2,900,2,MINAS 2000,1,0,4,3,1,0
37,17,0,1,0,1,1,4,10,18,1,1,5,500,,MINAS 2000,0,1,2,2,3,0
38,18,0,1,1,1,0,4,10,,1,1,1.5,850,,MINAS 2000,1,1,2,2,1,0
39,19,0,1,0,1,0,6,13,,4,1,,,,MINAS 2000,1,1,3,3,2,0
40,20,0,1,0,1,0,3,18,23,1,0.5,1,600,2,MINAS 2000,0,1,3,0,1,0
41,94,0,0,0,1,1,7,12,23,3,1,0,680,4,LOMAS DE MINAS,0,1,4,2,4,0
42,95,0,1,0,1,0,4,13,23,1,0,,500,3,LOMAS DE MINAS,1,1,2,2,2,0
43,96,0,1,0,1,0,4,10,19,1,0,2,550,2,LOMAS DE MINAS,1,1,2,2,2,0
44,97,0,1,0,1,0,5,9,23,1,0,0,700,4,LOMAS DE MINAS,1,1,4,1,3,0
45,98,0,1,0,1,0,4,18,20,1,1,2,550,1,LOMAS DE MINAS,1,1,1,3,2,0
46,99,0,0,0,1,0,5,10,29,1,,,,4,LOMAS DE MINAS,1,1,2,3,3,0
47,100,0,1,0,0,0,6,18,19,1,0,5,520,1,LOMAS DE MINAS,1,1,4,2,4,0
48,101,0,1,0,1,1,5,18,18,1,2,0,650,3,LOMAS DE MINAS,1,1,3,2,3,0
49,102,0,1,0,0,1,2,18,20,3,1,0,600,1,LOMAS DE MINAS,0,1,2,1,2,0
50,103,0,1,0,1,0,5,18,20,2,1,0,650,2,LOMAS DE MINAS,1,1,1,4,2,0
51,164,1,1,0,1,0,3,18,20,1,2.5,1,950,,NUEVA RINCONADA,0,1,2,0,1,0
52,165,0,1,0,1,1,4,18,24,1,2,8,950,,NUEVA RINCONADA,1,1,2,2,2,0
53,166,0,1,0,1,1,4,18,22,1,2,2,850,2,NUEVA RINCONADA,1,1,3,1,2,0
54,167,1,1,0,1,0,4,18,32,1,2.5,,950,3,NUEVA RINCONADA,1,1,2,1,1,0
55,168,0,1,0,1,0,4,18,,1,1,,850,,NUEVA RINCONADA,0,1,2,1,2,0
56,169,1,1,0,,1,2,18,23,1,,2,850,,NUEVA RINCONADA,0,1,1,1,1,0
57,662,0,1,0,1,1,5,5,22,1,2,10,1400,0,17 DE MARZO,1,1,4,1,3,0
58,663,0,1,0,1,0,6,5,21,1,,3,,1,17 DE MARZO,1,1,2,4,4,0
59,664,0,1,0,1,0,6,5,17,1,3,,,3,17 DE MARZO,1,1,2,4,3,0
60,665,0,1,0,1,0,10,5,19,1,3,,200,2,17 DE MARZO,1,1,5,5,8,0
61,666,0,1,0,1,0,4,3,24,1,2,,200,,17 DE MARZO,0,1,3,4,3,0
62,250,0,1,0,1,1,4,33,23,2,1,2,500,4,ALTOS DE MANUEL,0,1,1,3,2,0
63,251,0,1,0,1,1,4,30,18,1,1,2,500,2,ALTOS DE MANUEL,0,1,2,2,3,0
64,252,0,0,0,1,1,3,6,31,1,1,0,700,3,UNION Y PAZ,0,1,3,0,2,0
65,253,0,0,0,1,1,4,25,37,2,1,0,600,4,UNION Y PAZ,0,1,2,2,3,0
66,647,0,1,0,1,0,5,2,23,1,1.5,,750,2,CERRO AZUL - NUEVA RINCONADA,0,1,3,2,3,0
67,648,0,0,0,1,0,4,3,23,1,2,1,750,2,CERRO AZUL - NUEVA RINCONADA,1,1,3,1,2,0
68,649,0,0,0,1,1,6,2,18,7,1.5,,750,5,CERRO AZUL - NUEVA RINCONADA,1,1,4,2,4,0
69,650,0,0,0,1,0,4,3,17,1,3,,1000,2,CERRO AZUL - NUEVA RINCONADA,1,1,1,3,2,0
70,651,0,0,0,1,1,5,4,20,0,,3,0,1,CERRO AZUL - NUEVA RINCONADA,0,1,3,2,4,0
71,652,0,0,0,1,0,3,5,25,1,0.5,,500,2,CERRO AZUL - NUEVA RINCONADA,1,1,2,1,1,0
72,618,0,1,0,0,1,4,7,23,,,3,,1,FRONTERAS UNIDAS,0,1,2,2,3,0
73,619,0,0,0,0,1,6,5,19,,,3,,1,FRONTERAS UNIDAS,0,1,4,1,4,0
74,620,0,0,0,1,0,4,7,25,,,2,,2,FRONTERAS UNIDAS,0,1,2,1,2,0
75,621,0,0,0,0,0,7,7,15,,,2,,0,FRONTERAS UNIDAS,0,1,3,2,4,0
76,622,0,0,0,1,0,4,3,17,,,,,2,FRONTERAS UNIDAS,0,1,1,1,1,0
77,623,0,1,0,1,0,5,7,20,,,5,,3,FRONTERAS UNIDAS,0,1,2,2,3,0
78,189,0,1,0,1,1,4,20,19,1,1,2,650,1,CASA HUERTA,1,1,2,3,2,0
79,190,0,1,0,1,1,5,20,20,1,0.7,2,750,4,LOS SAUCES,1,1,5,1,3,0
80,191,0,0,0,1,1,6,15,18,1,0.5,1,650,2,LOS SAUCES,1,1,2,4,2,0
81,192,0,1,0,1,1,4,8,26,1,1,0,700,0,LOS SAUCES,1,1,3,1,2,0
82,193,0,0,0,1,0,1,30,0,1,0.5,0,400,1,LOS SAUCES,1,0,0,1,0,0
83,194,0,1,0,1,1,4,20,21,1,1,2,650,0,LOS SAUCES,1,1,3,1,2,0
84,195,0,0,0,1,1,4,18,17,1,1,3,700,0,LOS SAUCES,0,1,2,2,3,0
85,196,0,0,0,1,1,3,18,26,1,0.5,2,650,3,LOS SAUCES,1,1,2,2,2,0
86,361,0,1,0,1,0,7,11,20,1,,1.5,,5,REPUBLICA DEMOCRATICA ALEMANA,1,1,1,6,5,0
87,362,0,1,0,1,0,4,4,15,1,,,,,REPUBLICA DEMOCRATICA ALEMANA,1,1,3,1,2,0
88,327,1,1,0,0,0,6,6,19,2,1,1,800,5,NUEVA ALBORADA,0,1,3,3,3,0
89,328,1,1,0,1,1,3,4,25,1,1.5,4,700,0,NUEVA ALBORADA,0,1,3,0,2,0
90,329,0,0,0,1,0,5,4,17,2,1,,800,2,NUEVA ALBORADA,0,1,3,0,0,0
91,330,1,0,0,1,0,3,1,25,1,,,1000,,NUEVA ALBORADA,1,0,0,2,1,0
92,331,1,1,0,1,0,4,6,18,2,2,2,1000,1,NUEVA ALBORADA,1,1,3,1,2,0
93,332,1,1,0,1,0,5,6,28,1,1.5,1,1200,2,NUEVA ALBORADA,1,1,1,3,2,0
94,333,1,1,0,0,1,5,6,20,2,2,2,1000,,NUEVA ALBORADA,1,1,3,2,2,0
95,334,0,1,0,0,1,5,3,23,1,1.5,,1200,1,NUEVA ALBORADA,1,1,3,2,3,0
96,335,1,1,0,0,1,5,5,17,2,1.5,2,900,0,NUEVA ALBORADA,1,1,2,3,3,0
97,336,0,1,0,1,0,2,5,34,1,0.5,2,500,1,NUEVA ALBORADA,0,1,2,0,1,0
98,170,0,0,0,1,0,4,11,18,2,1,2,800,3,CASA HUERTA,0,1,2,2,2,0
99,171,0,0,0,1,1,5,18,25,2,,,200,4,CASA HUERTA,1,1,4,1,2,0
100,172,0,0,0,1,0,6,20,18,1,0.6,1,220,,CASA HUERTA,1,1,4,1,3,0
101,173,0,0,0,1,1,6,20,18,1,1,,,6,CASA HUERTA,1,1,3,2,2,0
102,174,0,1,0,1,1,4,6,23,1,1,,200,3,CASA HUERTA,1,1,3,1,2,0
103,175,0,0,0,1,0,7,22,21,1,1,,100,1,CASA HUERTA,0,1,3,3,4,0
104,176,0,0,0,1,1,7,14,17,,,3,,,CASA HUERTA,0,1,4,3,6,0
105,177,0,0,0,1,1,5,,,1,0.6,,200,,CASA HUERTA,0,1,3,1,3,0
106,178,0,0,0,0,0,4,15,,1,,,,,CASA HUERTA,0,1,2,3,4,0
107,179,0,0,0,1,1,7,14,23,1,0.6,,,,CASA HUERTA,1,1,1,4,3,0
108,180,0,,0,0,1,7,20,20,,,,,5,CASA HUERTA,0,1,1,0,0,0
109,181,0,1,0,1,0,3,16,20,0,,,,3,CASA HUERTA,1,1,1,2,1,0
110,182,0,0,0,1,0,6,19,16,1,,,300,3,CASA HUERTA,1,1,1,4,3,0
111,183,0,1,0,1,0,3,22,21,2,,,2080,,CASA HUERTA,0,1,1,2,0,0
112,750,0,1,0,1,1,12,30,24,2,1,2,800,5,LA RINCONADA,0,1,5,0,2,0
113,751,0,1,0,1,1,7,28,18,2,2,1,900,1,LA RINCONADA,0,1,4,2,4,0
114,752,0,1,0,0,1,3,3,2,1,2,3,930,3,LA RINCONADA,0,1,3,0,2,0
115,753,0,1,0,1,1,12,28,25,2,0.3,2,800,1,LA RINCONADA,1,1,3,3,4,0
116,754,0,1,0,1,1,15,10,21,1,0.5,3,800,0,LA RINCONADA,1,1,4,4,5,0
117,40,0,1,0,0,0,5,18,20,1,2.5,,800,2,LAS ROCAS,1,1,1,2,0,0
118,41,0,0,0,1,0,5,3,17,2,1.5,6,1000,1,LAS ROCAS,0,1,1,2,2,0
119,42,1,0,0,1,1,5,4,25,1,1,4,930,3,LAS ROCAS,1,1,2,1,1,0
120,43,0,0,0,1,1,4,3,23,1,0.4,3,500,2,LAS ROCAS,0,1,2,2,3,0
121,44,1,0,0,1,0,5,18,23,1,2,,900,,LAS ROCAS,1,1,2,3,3,0
122,45,0,1,0,0,1,4,3,20,2,0.5,10,600,3,LAS ROCAS,0,1,1,1,0,0
123,32,0,1,0,1,0,6,18,18,2,0.5,0,,6,LA CUMBRE,1,1,3,2,3,0
124,33,0,1,0,1,0,4,18,30,1,2,3,800,4,LA CUMBRE,1,1,2,2,2,0
125,34,0,1,0,1,0,5,18,16,1,0.5,2,,5,LA CUMBRE,1,1,2,3,3,0
126,35,0,1,0,1,0,5,18,17,1,2,4,,5,LA CUMBRE,1,1,4,1,3,0
127,36,0,1,0,1,0,4,18,17,1,2,1,,4,LA CUMBRE,0,1,3,1,2,0
128,37,0,1,0,1,0,4,18,19,1,2,3,,4,LA CUMBRE,1,1,1,3,2,0
129,38,0,1,0,1,0,1,18,18,1,2,1,,3,LA CUMBRE,0,1,2,1,2,0
130,39,0,1,0,1,0,4,18,19,1,1,4,,4,LA CUMBRE,1,1,1,3,2,0
131,214,0,0,0,0,1,7,9,27,1,1,7,600,0,ORGANIZACION TERRAZAS,1,1,4,3,5,0
132,108,0,1,0,1,1,5,18,18,1,2,3,800,3,VILLA LAS TUNAS,0,1,3,2,3,0
133,109,0,1,0,1,0,2,18,,,,,65,2,VILLA LAS TUNAS,1,0,1,1,1,0
134,110,0,1,0,1,0,7,18,22,1,1,3,7500,3,VILLA LAS TUNAS,1,1,4,3,5,0
135,111,0,1,0,1,1,4,18,20,1,0.5,2,800,4,VILLA LAS TUNAS,1,1,2,3,2,1
136,112,0,1,0,1,1,7,18,23,1,3,2,850,5,VILLA LAS TUNAS,0,1,3,4,4,0
137,113,0,1,0,1,1,5,18,25,1,1,3,850,4,VILLA LAS TUNAS,1,1,2,2,2,0
138,744,0,1,0,1,1,6,18,20,1,0.6,2,500,3,LOS JARDINES,0,1,4,2,5,0
139,745,0,1,0,1,0,7,10,19,1,1,7,450,3,LOS JARDINES,1,1,3,4,5,0
140,746,0,1,0,1,0,6,18,14,1,0.1,7,320,4,LOS JARDINES,0,1,3,3,5,0
141,775,0,1,0,1,0,7,6,15,1,0.1,5,360,6,LOS JARDINES,0,1,3,4,6,0
142,119,1,1,0,0,1,7,16,17,1,1.5,2,500,2,LOS ROSALES,0,1,3,3,5,0
143,121,1,1,0,0,1,5,18,19,2,0,2,800,2,LOS ROSALES,1,1,2,2,2,0
144,122,1,1,0,1,1,7,14,20,1,0,1,900,2,LOS ROSALES,1,1,5,2,4,0
145,123,1,1,0,1,1,6,18,22,1,1.5,2,900,2,LOS ROSALES,1,1,3,3,4,0
146,124,1,1,0,1,1,8,18,18,2,1,2,1000,7,LOS ROSALES,1,1,3,3,4,0
147,125,1,1,0,1,1,11,18,24,2,2,3,1000,5,LOS ROSALES,1,1,4,6,8,0
148,126,1,1,0,0,0,4,9,27,1,1,1,8500,7,LOS ROSALES,1,1,1,3,2,0
149,127,1,1,0,1,,3,18,24,1,1,,900,3,LOS ROSALES,1,1,1,1,0,0
150,128,0,1,0,1,1,7,6,16,2,1,4,1000,,LOS ROSALES,1,1,6,1,5,0
151,129,1,1,0,0,1,3,10,24,1,1,1,600,1,LOS ROSALES,1,1,2,2,2,0
152,130,,1,0,0,,2,18,,,,,,,LOS ROSALES,1,1,1,1,0,0
153,131,0,1,1,1,1,6,0.2,15,1,1.5,6,600,0,LOS ROSALES,0,1,2,4,5,0
154,755,0,0,0,1,0,6,18,17,3,,,950,3,LOS JARDINES,1,1,3,2,2,0
155,756,0,0,0,1,1,5,32,20,2,1,0,950,3,LOS JARDINES,0,1,5,1,4,0
156,757,0,0,0,1,1,3,24,25,0,0,0,,2,LOS JARDINES,0,1,2,0,1,0
157,758,0,0,0,1,0,5,24,21,2,1.5,0,950,4,LOS JARDINES,0,1,4,2,2,1
158,759,0,0,0,1,0,5,24,22,1,1,0,850,,LOS JARDINES,0,1,,,,
159,300,0,1,0,0,0,3,1,20,,,,400,2,COMEDOR CORAZON DE JESUS,0,1,1,1,1,0
160,301,0,1,1,1,,1,18,28,1,2,,300,1,COMEDOR CORAZON DE JESUS,0,1,1,0,0,0
161,302,0,1,0,1,1,4,18,28,1,2,1,800,0,COMEDOR CORAZON DE JESUS,0,1,2,2,3,0
162,303,0,1,0,1,1,7,18,20,3,1,4,800,6,COMEDOR CORAZON DE JESUS,1,0,1,4,4,0
163,304,1,1,0,1,1,6,18,16,1,1,,800,5,COMEDOR CORAZON DE JESUS,1,1,3,3,4,0
164,305,0,1,0,1,1,5,18,22,1,1,5,400,4,COMEDOR CORAZON DE JESUS,0,1,1,4,4,0
165,306,0,1,0,0,1,5,18,23,,,4,350,3,COMEDOR CORAZON DE JESUS,0,1,1,2,2,0
166,307,1,1,1,1,1,5,18,17,1,1,7,600,4,COMEDOR CORAZON DE JESUS,0,1,3,2,4,0
167,308,0,1,1,1,1,4,18,22,1,2,2,500,4,COMEDOR CORAZON DE JESUS,0,1,3,1,3,0
168,309,0,1,0,1,1,4,18,21,1,2,3,600,4,COMEDOR CORAZON DE JESUS,0,1,3,1,3,0
169,310,0,1,0,1,0,8,18,16,1,1,,800,2,COMEDOR CORAZON DE JESUS,0,1,6,0,5,0
170,311,0,1,0,1,0,3,18,18,1,,,700,3,VILLA SOL PARTE BAJA,0,1,2,1,1,0
171,312,0,,0,1,1,5,18,22,2,,,,5,VILLA SOL PARTE BAJA,1,1,3,2,2,0
172,313,0,1,1,1,1,4,10,18,1,2,0,850,2,VILLA SOL PARTE BAJA,0,1,2,1,2,0
173,314,0,1,0,1,1,5,2,22,2,0.5,2,750,2,VILLA SOL PARTE BAJA,1,1,4,1,3,0
174,315,0,1,0,1,0,1,18,20,1,1,,750,1,VILLA SOL PARTE BAJA,0,1,1,0,0,0
175,316,0,1,0,1,1,5,13,,2,1,3,700,3,VILLA SOL PARTE BAJA,0,1,3,2,1,0
176,317,0,1,0,1,0,5,16,18,1,1,0,800,4,VILLA SOL PARTE BAJA,1,1,3,2,3,0
177,318,0,1,0,1,0,6,16,24,1,1,0,800,4,VILLA SOL PARTE BAJA,1,1,5,1,3,0
178,737,0,1,0,0,0,6,3,18,1,0,1,300,0,VILLA SOL PARTE BAJA,1,1,3,3,3,0
179,738,0,1,0,0,0,2,5,18,1,0.6,0,500,1,ROSAS DE SAN JUAN,0,1,1,1,1,0
180,739,0,1,0,0,0,5,3,24,1,2,2,500,3,ROSAS DE SAN JUAN,1,1,4,1,2,0
181,740,0,1,0,1,0,4,6,19,1,2,0,200,3,ROSAS DE SAN JUAN,1,1,2,2,1,0
182,741,0,1,0,1,0,4,6,26,1,1,2,400,2,ROSAS DE SAN JUAN,1,1,2,2,2,0
183,742,0,1,0,1,0,6,6,17,1,2,3,500,4,ROSAS DE SAN JUAN,1,1,4,2,1,1
184,670,0,1,0,1,0,7,14,25,1,1.5,1,950,2,C 16,1,1,4,3,5,0
185,671,0,1,0,1,0,4,10,25,1,1.5,0,850,1,C 16,0,1,4,0,3,0
186,672,0,1,0,1,0,7,18,19,1,2,,1000,2,C 16,1,1,4,3,5,0
187,202,0,1,0,1,0,2,5,22,1,1,,500,2,VILLA SAN JUAN,1,1,1,1,0,0
188,203,0,1,0,0,1,4,17,20,1,1.5,1,400,2,VILLA SAN JUAN,0,1,4,0,3,0
189,204,0,1,0,1,1,7,7,19,2,0.5,2,1200,4,VILLA SAN JUAN,1,1,3,4,5,0
190,205,0,1,0,1,0,4,16,18,1,0.2,,400,2,VILLA SAN JUAN,1,1,2,2,2,0
191,206,0,1,1,1,1,4,18,15,1,,,200,1,VILLA SAN JUAN,0,1,3,1,3,0
192,207,0,1,0,,0,4,12,24,1,,2,300,3,VILLA SAN JUAN,0,1,2,2,3,0
193,208,0,1,0,1,0,4,18,28,1,1,,400,3,VILLA SAN JUAN,1,1,2,2,2,0
194,209,0,1,0,1,0,5,18,13,3,1,,200,2,VILLA SAN JUAN,0,1,2,1,2,0
195,210,0,1,0,1,0,4,14,18,1,0.5,2,300,2,VILLA SAN JUAN,0,1,3,0,2,0
196,212,,1,0,1,0,2,,,1,,,400,1,VILLA SAN JUAN,0,1,1,1,1,0
197,219,0,1,0,1,0,5,17,20,1,0.5,,700,4,NUEVO MILENIO,1,1,3,4,5,0
198,219,0,1,0,1,0,5,17,20,1,0.5,,700,4,VILLA SAN JUAN,1,1,3,4,5,0
199,219,0,1,0,1,0,4,2,35,1,0.5,12,400,2,NUEVO MILENIO,1,1,3,4,5,0
200,219,0,1,0,1,0,4,2,35,1,0.5,12,400,2,VILLA SAN JUAN,1,1,3,4,5,0
201,772,0,1,0,1,1,6,14,18,1,1.5,0,700,3,LA RINCONADA,1,1,2,4,3,0
202,743,0,1,0,1,1,6,4,19,1,0.15,4,430,5,C16 LA NUEVA JUVENTUD,1,1,1,5,4,0
203,747,0,1,0,1,1,6,18,22,1,0.3,1,400,0,C16 LA NUEVA JUVENTUD,0,1,3,3,5,0
204,748,0,1,0,1,1,5,18,20,1,0.5,2,420,2,C16 LA NUEVA JUVENTUD,0,1,2,3,3,0
205,749,0,1,0,1,1,5,8,20,1,0.5,2,350,4,C16 LA NUEVA JUVENTUD,0,1,4,1,4,0
206,631,0,0,0,1,1,4,7,15,1,0.2,0,200,2,NADINE HEREDIA,0,1,3,1,3,0
207,632,0,0,0,1,1,7,5,22,2,2,0,250,0,NADINE HEREDIA,0,1,6,1,6,0
208,633,0,1,0,1,1,8,6,20,2,0,5,300,1,NADINE HEREDIA,0,1,6,1,6,0
209,634,0,0,0,1,1,5,6,17,1,2,8,250,0,NADINE HEREDIA,0,1,2,3,4,0
210,635,0,1,0,1,0,3,6,16,1,,,300,0,NADINE HEREDIA,0,1,1,2,0,0
211,636,0,0,0,1,0,8,6,18,1,1,1,250,0,NADINE HEREDIA,0,1,7,1,6,0
212,637,0,1,0,1,0,8,1,26,1,2,1,300,0,NADINE HEREDIA,1,1,5,3,6,0
213,114,0,1,0,1,0,5,18,27,1,0.5,0,650,2,LADERAS DE STA CRUZ,1,1,3,2,3,0
214,115,0,1,0,1,0,7,18,22,2,1,2,800,7,LADERAS DE STA CRUZ,1,1,1,3,2,0
215,116,0,1,0,1,0,4,18,28,1,0.5,2,650,2,LADERAS DE STA CRUZ,0,1,2,2,2,0
216,117,0,1,0,1,0,6,3,22,1,2,4,800,5,LADERAS DE STA CRUZ,1,1,4,1,3,0
217,118,0,1,0,1,0,3,18,22,1,0.5,0,300,2,LADERAS DE STA CRUZ,1,1,1,2,1,0
218,120,0,1,0,1,0,2,18,,,,,,2,LADERAS DE STA CRUZ,0,1,2,0,0,1
219,271,0,0,0,1,0,5,5,19,1,,,400,3,VISTA ALEGRE,1,1,3,2,2,0
220,272,0,1,0,0,0,4,3,22,1,,2,400,,VISTA ALEGRE,0,1,4,0,3,0
221,273,0,1,0,1,0,4,15,29,1,2,,400,1,VISTA ALEGRE,1,1,3,1,2,0
222,274,0,1,0,1,0,5,17,18,1,,,200,3,VISTA ALEGRE,1,1,3,3,2,1
223,275,0,1,0,1,0,6,7,18,1,,,200,3,VISTA ALEGRE,1,1,4,2,2,0
224,276,0,1,0,1,1,5,5,17,1,1,,300,3,VISTA ALEGRE,0,1,3,0,2,0
225,277,0,1,0,1,0,9,18,18,2,1.5,,650,0,VISTA ALEGRE,0,1,4,4,7,0
226,278,0,1,0,1,0,3,5,19,1,,,300,2,VISTA ALEGRE,1,1,2,2,2,0
227,132,0,0,0,1,1,5,1,17,3,2,0,600,1,MONTE DE ISRAEL,0,1,1,3,3,0
228,133,1,0,0,0,0,5,3,13,1,0,0,800,2,MONTE DE ISRAEL,1,1,1,4,3,0
229,134,1,0,0,1,0,3,0.3,14,1,0.4,0,500,0,MONTE DE ISRAEL,1,1,1,2,1,0
230,135,0,0,0,1,1,4,2,21,1,0.5,0,600,0,MONTE DE ISRAEL,0,1,3,1,3,0
231,136,0,0,0,0,0,1,,20,1,0.5,0,100,1,MONTE DE ISRAEL,0,1,1,0,0,0
232,148,0,1,0,1,0,6,12,20,1,1,1,1000,5,VILLA HORIZONTE,1,1,2,4,3,0
233,149,0,1,0,1,0,5,12,20,1,1.5,4,850,4,VILLA HORIZONTE,1,1,3,2,2,0
234,150,0,1,0,1,0,6,9,31,2,2,0,1000,3,VILLA HORIZONTE,1,1,1,4,2,0
235,151,0,1,0,1,0,2,15,16,,,,300,,VILLA HORIZONTE,1,1,1,1,0,0
236,152,0,1,0,1,0,5,13,19,1,2,2,600,2,VILLA HORIZONTE,0,1,4,1,3,1
237,153,0,1,0,1,1,4,6,17,1,0.4,2,,4,VILLA HORIZONTE,0,1,2,2,2,0
238,154,0,1,0,1,0,7,15,15,1,0.5,2,500,0,VILLA HORIZONTE,1,1,4,3,5,0
239,155,0,1,0,1,0,5,15,27,1,1.5,2,720,4,VILLA HORIZONTE,1,1,3,2,3,0
240,,0,1,0,0,0,5,6,29,2,2,,700,3,,,,,,,
241,71,0,1,0,1,1,5,20,19,2,2,2,850,5,SENOR DE QOYLLOR RITTY,1,1,1,4,2,0
242,72,0,1,1,1,1,6,4,18,2,2,1,700,3,SENOR DE QOYLLOR RITTY,1,1,4,3,3,0
243,73,1,1,0,1,1,5,18,17,7,2,22,500,2,SENOR DE QOYLLOR RITTY,1,1,4,1,2,0
244,74,1,1,0,1,1,6,4,18,1,0.5,,800,3,SENOR DE QOYLLOR RITTY,1,1,1,5,4,0
245,75,1,0,0,1,1,6,4,21,1,2,2,680,2,SENOR DE QOYLLOR RITTY,0,1,5,0,4,0
246,76,0,1,0,,,4,20,23,1,1,,450,2,SENOR DE QOYLLOR RITTY,1,1,3,1,2,0
247,77,0,1,1,1,,3,20,15,2,1,,400,1,SENOR DE QOYLLOR RITTY,0,1,1,0,0,0
248,79,0,1,0,1,0,4,24,20,1,1,,800,4,SENOR DE QOYLLOR RITTY,0,1,2,2,2,0
249,78,0,0,0,0,1,4,3,17,7,2,,500,2,SENOR DE QOYLLOR RITTY,1,1,3,1,2,0
250,279,1,1,0,1,0,4,9,19,1,1.5,1,300,1,BELLAVISTA 1,1,1,3,1,2,0
251,280,1,1,0,0,0,5,9,27,1,1,1,1000,2,BELLAVISTA 1,1,1,3,2,3,0
252,281,0,0,0,1,1,8,2,16,2,2,0,850,2,BELLAVISTA 1,1,1,3,5,5,0
253,282,0,1,0,0,1,4,10,20,1,0.5,,350,4,BELLAVISTA 1,0,1,2,0,0,0
254,283,0,1,0,1,1,5,8,15,1,0.5,,800,0,BELLAVISTA 1,1,1,4,1,3,0
255,56,0,0,0,1,1,6,17,20,1,1,,800,3,LAS TERRAZAS,0,1,6,0,4,0
256,57,0,0,0,1,1,2,17,33,1,1,,500,,LAS TERRAZAS,0,1,1,1,0,0
